"station_id","name","latitude","longitude","func_capacity","is_renting","is_returning"
3210,"Pershing Field",40.742677141,-74.051788633,18,TRUE,TRUE
3412,"Pacific St & Nevins St",40.6853761,-73.98302136,18,TRUE,TRUE
3833,"Madison St & Evergreen Ave",40.69122,-73.91693,18,TRUE,TRUE
3863,"Central Ave & Woodbine St",40.69296,-73.91605,18,TRUE,TRUE
3049,"Cambridge Pl & Gates Ave",40.68488,-73.96304,18,TRUE,TRUE
3198,"Heights Elevator",40.748715945380226,-74.04044330120087,18,FALSE,FALSE
3220,"5 Corners Library",40.734961020009514,-74.0595030784607,18,TRUE,TRUE
3817,"Withers St & Kingsland Ave",40.71773,-73.94051,18,TRUE,TRUE
3202,"Newport PATH",40.7272235,-74.0337589,18,TRUE,TRUE
3273,"Manila & 1st",40.721650724879986,-74.04288411140442,18,TRUE,TRUE
3196,"Riverview Park",40.7443187,-74.0439909,18,TRUE,TRUE
3595,"35 St & Broadway",40.760339,-73.9222427,18,TRUE,TRUE
3640,"Journal Square",40.73367,-74.0625,18,TRUE,TRUE
3677,"Glenwood Ave",40.72755146730012,-74.07106071710587,18,TRUE,TRUE
3694,"Jackson Square",40.71113,-74.0789,18,TRUE,TRUE
3826,"Moffat St & Bushwick",40.68458,-73.90925,18,TRUE,TRUE
3862,"Linden St & Knickerbocker Ave",40.69714,-73.91566,18,TRUE,TRUE
3330,"Henry St & Bay St",40.6725058,-74.00494695,19,TRUE,TRUE
3344,"Pioneer St & Van Brunt St",40.679043,-74.011169,19,TRUE,TRUE
3348,"Coffey St & Conover St",40.677236,-74.015665,19,TRUE,TRUE
3392,"Commerce St & Van Brunt St",40.6812117,-74.00860912,19,TRUE,TRUE
3393,"Richards St & Delavan St",40.6794327,-74.00785041,19,TRUE,TRUE
3795,"10 St & 2 Ave",40.671907,-73.993612,19,TRUE,TRUE
3255,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068,19,TRUE,FALSE
421,"Clermont Ave & Park Ave",40.69573398,-73.97129668,19,TRUE,TRUE
3043,"Lewis Ave & Decatur St",40.6814598,-73.934903,19,TRUE,TRUE
3913,"Sands St Gate",40.699569,-73.979827,19,TRUE,TRUE
278,"Concord St & Bridge St",40.69766564,-73.98476437,19,TRUE,TRUE
3042,"Fulton St & Utica Ave",40.6794268,-73.9298911,19,TRUE,TRUE
3395,"Henry St & W 9 St",40.6763744,-74.00324957,19,TRUE,TRUE
3601,"Sterling St & Bedford Ave",40.6627059,-73.9569115,19,TRUE,TRUE
119,"Park Ave & St Edwards St",40.69608941,-73.97803415,19,TRUE,TRUE
3088,"Union Ave & Jackson St",40.7160751,-73.952029,19,TRUE,TRUE
3596,"Sullivan Pl & Bedford Ave",40.6642406,-73.9574686,19,TRUE,TRUE
3241,"Monroe St & Tompkins Ave",40.686203,-73.944694,19,TRUE,TRUE
3704,"47 Ave & Skillman Ave",40.7437524099784,-73.94176483154297,19,TRUE,TRUE
3589,"Broadway & 12 St",40.7668,-73.9347774,19,TRUE,TRUE
3607,"31 Ave & 14 St",40.7682,-73.9322662,19,TRUE,TRUE
3808,"24 St & 41 Ave",40.752474,-73.939991,19,TRUE,TRUE
3811,"27 Ave & 3 St",40.77485,-73.9342,19,TRUE,TRUE
3054,"Greene Ave & Throop Ave",40.6894932,-73.942061,19,TRUE,TRUE
3515,"24 Ave & 26 St",40.774591,-73.918544,19,TRUE,TRUE
341,"Stanton St & Mangin St",40.71782143,-73.97628939,19,TRUE,TRUE
3332,"Degraw St & Hoyt St",40.681990442707026,-73.99079024791718,19,TRUE,TRUE
3522,"37 St & 24 Ave",40.7701477,-73.9120938,19,TRUE,TRUE
3557,"40 Ave & 9 St",40.75742,-73.945133,19,TRUE,TRUE
3567,"11 St & 35 Ave",40.7627442,-73.9391141,19,TRUE,TRUE
3453,"Devoe St & Lorimer St",40.71335226222875,-73.9491033554077,19,TRUE,TRUE
3530,"Crescent St & Ditmars Blvd",40.7787185,-73.9145645,19,TRUE,TRUE
3046,"Marcus Garvey Blvd & Macon St",40.682601,-73.938037,19,TRUE,TRUE
3586,"34 Ave & 13 St",40.7638753,-73.9364848,19,TRUE,TRUE
3592,"Crescent St & Broadway",40.7633589,-73.9286471,19,TRUE,TRUE
3759,"Irving Ave & Jefferson St",40.70538,-73.92535,19,TRUE,TRUE
289,"Monroe St & Classon Ave",40.6845683,-73.95881081,19,TRUE,TRUE
3060,"Willoughby Ave & Tompkins Ave",40.69425403,-73.94626915,19,TRUE,TRUE
3619,"Newtown Ave & 23 St",40.7713615,-73.9246145,19,TRUE,TRUE
3661,"Montgomery St & Franklin Ave",40.666439306870814,-73.9605563879013,19,TRUE,TRUE
3691,"28 Ave & 44 St",40.76408932350688,-73.91065120697021,19,TRUE,TRUE
3755,"DeKalb Ave & Franklin Ave",40.69064807082943,-73.95746178925037,19,TRUE,TRUE
120,"Lexington Ave & Classon Ave",40.68676793,-73.95928168,19,TRUE,TRUE
275,"Washington Ave & Greene Ave",40.68650065,-73.96563307,19,TRUE,TRUE
373,"Willoughby Ave & Walworth St",40.69331716,-73.95381995,19,TRUE,TRUE
3048,"Putnam Ave & Nostrand Ave",40.68402,-73.94977,19,TRUE,TRUE
3565,"36 Ave & 10 St",40.7614376,-73.9411265,19,TRUE,TRUE
3758,"George St & Wilson Ave",40.702997,-73.92997,19,TRUE,TRUE
3878,"Cypress Ave & George St",40.69812,-73.90271,19,TRUE,TRUE
3066,"Tompkins Ave & Hopkins St",40.69957608,-73.94708417,19,TRUE,TRUE
3575,"Crescent St & 34 Ave",40.76108,-73.930562,19,TRUE,TRUE
3590,"Carroll St & Franklin Ave",40.6679411,-73.9588,19,TRUE,TRUE
3598,"Newton Rd & 44 St",40.7595701,-73.9142678,19,TRUE,TRUE
3834,"Irving Ave & Halsey St",40.69467,-73.90663,19,TRUE,TRUE
3857,"Engert Ave & McGuinness Blvd",40.72158,-73.94546,19,TRUE,TRUE
3059,"Pulaski St & Marcus Garvey Blvd",40.6933982,-73.939877,19,TRUE,TRUE
3249,"Verona Pl & Fulton St",40.6803560840434,-73.9476791024208,19,TRUE,TRUE
3767,"Powers St & Olive St",40.71323,-73.93894,19,TRUE,TRUE
3820,"Willoughby Ave & Myrtle Ave",40.69757,-73.93098,19,TRUE,TRUE
3892,"38 Ave & 29 St",40.75473,-73.93367,19,TRUE,TRUE
3071,"Boerum St & Broadway",40.70538077,-73.94976519,19,TRUE,TRUE
3559,"21 St & 38 Ave",40.7576314,-73.9391224,19,TRUE,TRUE
3564,"21 St & 36 Ave",40.7601853,-73.9362726,19,TRUE,TRUE
3621,"27 Ave & 9 St",40.7739825,-73.9309134,19,TRUE,TRUE
3772,"Devoe St & Morgan Ave",40.713811,-73.93515,19,TRUE,TRUE
3868,"Knickerbocker Ave & Halsey St",40.693,-73.90824,19,TRUE,TRUE
3872,"Hancock St & Wyckoff Ave",40.6972,-73.90674,19,TRUE,TRUE
3883,"Harman St & Seneca Ave",40.70577,-73.91292,19,TRUE,TRUE
3885,"Onderdonk Ave & Gates Ave",40.70413,-73.90737,19,TRUE,TRUE
3888,"Woodward Ave & Harman St",40.70793,-73.91092,19,TRUE,TRUE
3902,"Fairview Ave & Linden St",40.70694,-73.90632,19,TRUE,TRUE
3726,"Center Blvd & 51 Ave",40.743366080270214,-73.95960688591003,20,TRUE,TRUE
291,"Madison St & Montgomery St",40.713126,-73.984844,20,TRUE,TRUE
3858,"Kent St & McGuinness Blvd",40.73124,-73.95161,20,TRUE,TRUE
3851,"Metropolitan Ave & Stewart Ave",40.71401,-73.92793,20,TRUE,TRUE
3853,"Harrison Pl & Porter Ave",40.70686,-73.92851,20,TRUE,TRUE
3819,"Green St & McGuinness Blvd",40.73396,-73.95204,20,TRUE,TRUE
3827,"Halsey St & Broadway",40.68565,-73.91564,20,TRUE,TRUE
3063,"Nostrand Ave & Myrtle Ave",40.69527008,-73.95238108,20,TRUE,TRUE
3859,"Lorimer St & Calyer St",40.72795,-73.95414,20,TRUE,TRUE
3773,"Knickerbocker Ave & Thames St",40.70539,-73.92976,20,TRUE,TRUE
3822,"Bushwick Ave & Forrest St",40.70076,-73.93641,20,TRUE,TRUE
3861,"Menahan St & Wyckoff Ave",40.70113,-73.91422,20,TRUE,TRUE
3870,"Melrose St & Broadway",40.697481,-73.935877,20,TRUE,TRUE
3886,"Menahan St & Onderdonk Ave",40.70553,-73.9096,20,TRUE,TRUE
3891,"Irving Ave & Palmetto St",40.698,-73.9127,20,TRUE,TRUE
3909,"Madison St & Woodward Ave",40.70408,-73.90408,20,TRUE,TRUE
3311,"Columbia St & Kane St",40.68763155,-74.0016256,21,TRUE,TRUE
3340,"Wolcott St & Dwight St",40.6753274,-74.0100698,21,TRUE,TRUE
3394,"Columbia St & W 9 St",40.6769993,-74.00647134,21,TRUE,TRUE
3498,"Pleasant Ave & E 120 St",40.7974772,-73.9311847,21,TRUE,TRUE
3606,"49 Ave & 21 St",40.74252,-73.948852,21,TRUE,TRUE
3615,"44 Dr & 21 St",40.748,-73.9460927,21,TRUE,TRUE
3333,"Columbia St & Lorraine St",40.6747055,-74.0075572,21,TRUE,TRUE
3608,"5 St & 51 Ave",40.7423737,-73.9566,21,TRUE,TRUE
3422,"Columbia St & Degraw St",40.6859296,-74.00242364,21,TRUE,TRUE
3326,"Clinton St & Centre St",40.67434,-74.00194698,21,TRUE,TRUE
3525,"23 Ave & 27 St",40.776165,-73.9153175,21,TRUE,TRUE
3588,"Vernon Blvd & 10 St",40.7671863,-73.9373554,21,TRUE,TRUE
3356,"Amsterdam Ave & W 66 St",40.7746671,-73.98470567,21,TRUE,TRUE
3673,"Dean St & Franklin Ave",40.67759206937376,-73.955637216568,21,TRUE,TRUE
3347,"Van Brunt St & Wolcott St",40.6773429,-74.01275056,21,TRUE,TRUE
3764,"Bushwick Ave & McKibbin St",40.705517,-73.93936,21,TRUE,TRUE
3420,"Douglass St & 3 Ave",40.6802133,-73.98432695,21,TRUE,TRUE
3319,"14 St & 5 Ave",40.666287,-73.98895053,21,TRUE,TRUE
3352,"Sigourney St & Columbia St",40.67267243410948,-74.0087952464819,21,TRUE,TRUE
3050,"Putnam Ave & Throop Ave",40.6851532,-73.94111,21,TRUE,TRUE
3528,"Steinway St & 23 Ave",40.7713937,-73.9077436,21,TRUE,TRUE
3591,"21 St & 31 Dr",40.7659,-73.930819,21,TRUE,TRUE
3578,"Park Pl & Franklin Ave",40.6741806,-73.9564947,21,TRUE,TRUE
3381,"3 St & Hoyt St",40.6777287,-73.99364123,21,TRUE,TRUE
3568,"34 St & 35 Ave",40.7569332,-73.9262231,21,TRUE,TRUE
3605,"31 Ave & Crescent St",40.7658346,-73.9265474,21,TRUE,TRUE
3887,"Flushing Ave & Woodward Ave",40.71246,-73.91873,21,TRUE,TRUE
3297,"6 St & 7 Ave",40.6686627,-73.97988067,21,TRUE,TRUE
3546,"Pacific St & Classon Ave",40.6791944,-73.9587903,21,TRUE,TRUE
3756,"White St & Moore St",40.704508,-73.9351,21,TRUE,TRUE
3080,"S 4 St & Rodney St",40.70934,-73.95608,21,TRUE,TRUE
3513,"21 St & Hoyt Ave S",40.774645,-73.923706,21,TRUE,TRUE
3765,"Bushwick Ave & Stagg St",40.709897,-73.94008,21,TRUE,TRUE
3047,"Halsey St & Tompkins Ave",40.6823687,-73.944118,21,TRUE,TRUE
3061,"Throop Ave & Myrtle Ave",40.69622937,-73.94371094,21,TRUE,TRUE
3603,"31 Ave & 30 St",40.7647,-73.9240312,21,TRUE,TRUE
3832,"Central Ave & Weirfield St",40.69055,-73.91181,21,TRUE,TRUE
3845,"Irving Ave & Harman St",40.70108,-73.9179,21,TRUE,TRUE
3770,"Central Ave & Flushing Ave",40.702831,-73.9333,21,TRUE,TRUE
3214,"Essex Light Rail",40.7127742,-74.0364857,22,TRUE,TRUE
3213,"Van Vorst Park",40.71848892,-74.047726625,22,TRUE,TRUE
3187,"Warren St",40.7211236,-74.03805095,22,TRUE,TRUE
3106,"Driggs Ave & N Henry St",40.72325,-73.94308,22,TRUE,TRUE
3205,"JC Medical Center",40.71653978099194,-74.0496379137039,22,TRUE,TRUE
3481,"York St",40.71649,-74.04105,22,TRUE,TRUE
3511,"Adam Clayton Powell Blvd & W 115 St",40.802535,-73.9532423,22,TRUE,TRUE
3192,"Liberty Light Rail",40.7112423,-74.0557013,22,TRUE,TRUE
3209,"Brunswick St",40.7241765,-74.0506564,22,TRUE,TRUE
3185,"City Hall",40.7177325,-74.043845,22,TRUE,TRUE
3911,"Wyckoff St & Nevins St",40.683426,-73.984275,22,TRUE,TRUE
